Number	BioSampleName	ServiceId	ServiceName	ServiceEName	SampleInfo_TotalLength	SampleInfo_NumRecords	SampleInfo_Context	SampleInfo_DNABarcodeName	RunDetails_WellSampleName	RunDetails_BioSampleUniqueId	RunDetails_InstrumentId	RunDetails_InstrumentName	RunDetails_WellUniqueId	RunDetails_TimeStampedName	RunDetails_RunName	RunDetails_CreatedBy	RunDetails_WhenCreated	RunDetails_WhenStarted	WellInfo_Name	WellInfo_WellName	WellInfo_Application	WellInfo_Concentration	WellInfo_OnPlateLoadingConcentration	WellInfo_InsertSize	WellInfo_IsoSeq	WellInfo_IsCCS	WellInfo_SampleReuseEnabled	WellInfo_StageHotstartEnabled	WellInfo_SizeSelectionEnabled	WellInfo_UseCount	WellInfo_DNAControlComplex	CellStat_ZMWs_input	CellStat_ZMWs_pass_filters	CellStat_ZMWs_fail_filters	CellStat_ZMWs_shortcut_filters	CellStat_ZMWs_with_tandem_repeats	CellStat_Below_SNR_threshold	CellStat_Median_length_filter	CellStat_Lacking_full_passes	CellStat_Heteroduplex_insertions	CellStat_Coverage_drops	CellStat_Insufficient_draft_cov	CellStat_Draft_too_different	CellStat_Draft_generation_error	CellStat_Draft_above_--max-length	CellStat_Draft_below_--min-length	CellStat_Reads_failed_polishing	CellStat_Empty_coverage_windows	CellStat_CCS_did_not_converge	CellStat_CCS_adapter_concatenation	CellStat_CCS_adapter_palindrome	CellStat_CCS_adapter_residue	CellStat_CCS_below_minimum_RQ	CellStat_Unknown_error	CellStat_ZMWs_missing_adapters	BAMPath	BamFileUniqueId	WellInfo_LibraryType	CellStat_ZMW_with_full-length_subread	CellStat_ZMW_with_control_failure	CellStat_ZMW_with_control_success	CellStat_HiFi_Reads	CellStat_HiFi_Yield_(bp)	CellStat_HiFi_Read_Length_(mean,_bp)	CellStat_HiFi_Read_Length_(median,_bp)	CellStat_HiFi_Read_Length_N50_(bp)	CellStat_HiFi_Read_Quality_(median)	CellStat_HiFi_Number_of_Passes_(mean)	CellStat_<Q20_Reads	CellStat_<Q20_Yield_(bp)	CellStat_<Q20_Read_Length_(mean,_bp)	CellStat_<Q20_Read_Length_(median,_bp)	CellStat_<Q20_Read_Quality_(median)	CellStat_>=Q30_Reads	CellStat_>=Q30_Yield_(bp)	CellStat_>=Q30_Read_Length_(mean,_bp)	CellStat_>=Q30_Read_Length_(median,_bp)	CellStat_>=Q30_Read_Quality_(median)	CellStat_Base_quality_>=Q30_(bp)	RunDetails_WhenCompleted	CellStat_Inputs	CellStat_Passed	CellStat_Failed	CellStat_Tandem_repeats	CellStat_Shortcut_filters	CellStat_Missing_adapters	XMLFilePath	Sample ID	RunDetails_WellSampleName_tmp
1	milyang23	E-202303-19614	20230323_국립농업과학원_김정구_de novo_1(벼4종)	20230323_RDA_KimJeongGu_de novo_1	31,799,034,169	2,801,416	m84065_230421_055147_s2	bc2004--bc2004	samkwang_milyang23-Cell2 (milyang23)	dec45288-c9c3-452c-b431-34e685da88f0	84065	Revio01-84065	b7393728-3462-48ee-8c20-30491ab05663	r84065_20230421_051323	1-20230421-2cell	admin	2023-04-21 03:51:06.527000+00:00	2023-04-21T05:14:23.855725Z	samkwang_milyang23	B01	hifiReads	0	225	0	false	true	false	false	false	0	Revio sequencing control	17259769	6216538 (36.02%)	11043231 (63.98%)	0 (0.000%)	38397 (0.348%)	124456 (1.127%)	0 (0.000%)	10217961 (92.53%)	178755 (1.619%)	4984 (0.045%)	97539 (0.883%)	0 (0.000%)	371847 (3.367%)	0 (0.000%)	184 (0.002%)	14986 (0.136%)	17439 (0.158%)	11151 (0.101%)	2 (0.000%)	55 (0.000%)	174 (0.002%)	3698 (0.033%)	0 (0.000%)	336791 (5.418%)	/dlst/tmp-Revio/r84065_20230421_051323/1_B01/hifi_reads/m84065_230421_055147_s2.hifi_reads.bc2004.bam	9dbc63b4-9d3d-4f37-9b61-63224579ebcf																														/dlst/tmp-Revio/r84065_20230421_051323/1_B01/pb_formats/m84065_230421_055147_s2.hifi_reads.bc2004.consensusreadset.xml	Milyang 23	samkwang_milyang23
2	samkwang	E-202303-19614	20230323_국립농업과학원_김정구_de novo_1(벼4종)	20230323_RDA_KimJeongGu_de novo_1	35,155,083,032	3,080,647	m84065_230421_055147_s2	bc2002--bc2002	samkwang_milyang23-Cell2 (samkwang)	e7d1ca9d-1b66-443e-ba00-1ae6764f6103	84065	Revio01-84065	b7393728-3462-48ee-8c20-30491ab05663	r84065_20230421_051323	1-20230421-2cell	admin	2023-04-21 03:51:06.527000+00:00	2023-04-21T05:14:23.855725Z	samkwang_milyang23	B01	hifiReads	0	225	0	false	true	false	false	false	0	Revio sequencing control	17259769	6216538 (36.02%)	11043231 (63.98%)	0 (0.000%)	38397 (0.348%)	124456 (1.127%)	0 (0.000%)	10217961 (92.53%)	178755 (1.619%)	4984 (0.045%)	97539 (0.883%)	0 (0.000%)	371847 (3.367%)	0 (0.000%)	184 (0.002%)	14986 (0.136%)	17439 (0.158%)	11151 (0.101%)	2 (0.000%)	55 (0.000%)	174 (0.002%)	3698 (0.033%)	0 (0.000%)	336791 (5.418%)	/dlst/tmp-Revio/r84065_20230421_051323/1_B01/hifi_reads/m84065_230421_055147_s2.hifi_reads.bc2002.bam	188ff6c9-8198-4b02-81cf-bcb8847d1ad0																														/dlst/tmp-Revio/r84065_20230421_051323/1_B01/pb_formats/m84065_230421_055147_s2.hifi_reads.bc2002.consensusreadset.xml	Samkwang	samkwang_milyang23
3	odae	E-202303-19614	20230323_국립농업과학원_김정구_de novo_1(벼4종)	20230323_RDA_KimJeongGu_de novo_1	9,782,218,357	700,318	m84065_230427_085745_s2	bc2003--bc2003	chamdongjin_odae-Cell2 (odae)	a02a69eb-3868-4e0a-862b-2cace880e454	84065	Revio01	51116470-db42-40e8-8069-321af7b2c07d	r84065_20230427_081315	1-20230427-18kb-2cell_Revio	admin	2023-04-27 05:37:28.085000+00:00	2023-04-27T08:14:54.5654463Z	chamdongjin_odae	D01	hifiReads	0	150	0	false	true	false	false	false	0	Revio sequencing control	2974051	1442201 (48.49%)	1531850 (51.51%)	0 (0.000%)	19586 (1.279%)	8481 (0.554%)	0 (0.000%)	1434204 (93.63%)	30467 (1.989%)	1149 (0.075%)	10572 (0.690%)	0 (0.000%)	33096 (2.161%)	0 (0.000%)	7 (0.000%)	4406 (0.288%)	6214 (0.406%)	2565 (0.167%)	0 (0.000%)	10 (0.001%)	54 (0.004%)	625 (0.041%)	0 (0.000%)	52448 (3.637%)	/dlst/tmp-Revio/r84065_20230427_081315/1_D01/hifi_reads/m84065_230427_085745_s2.hifi_reads.bc2003.bam	1ab2ff0a-81cb-4afd-b4d0-e57c699464dd																														/dlst/tmp-Revio/r84065_20230427_081315/1_D01/pb_formats/m84065_230427_085745_s2.hifi_reads.bc2003.consensusreadset.xml	odea	chamdongjin_odae
4	chamdongjin	E-202303-19614	20230323_국립농업과학원_김정구_de novo_1(벼4종)	20230323_RDA_KimJeongGu_de novo_1	10,299,723,164	683,947	m84065_230427_085745_s2	bc2001--bc2001	chamdongjin_odae-Cell2 (chamdongjin)	93aeabe7-6e12-43d7-a5d2-fc9e6e71c7d6	84065	Revio01	51116470-db42-40e8-8069-321af7b2c07d	r84065_20230427_081315	1-20230427-18kb-2cell_Revio	admin	2023-04-27 05:37:28.085000+00:00	2023-04-27T08:14:54.5654463Z	chamdongjin_odae	D01	hifiReads	0	150	0	false	true	false	false	false	0	Revio sequencing control	2974051	1442201 (48.49%)	1531850 (51.51%)	0 (0.000%)	19586 (1.279%)	8481 (0.554%)	0 (0.000%)	1434204 (93.63%)	30467 (1.989%)	1149 (0.075%)	10572 (0.690%)	0 (0.000%)	33096 (2.161%)	0 (0.000%)	7 (0.000%)	4406 (0.288%)	6214 (0.406%)	2565 (0.167%)	0 (0.000%)	10 (0.001%)	54 (0.004%)	625 (0.041%)	0 (0.000%)	52448 (3.637%)	/dlst/tmp-Revio/r84065_20230427_081315/1_D01/hifi_reads/m84065_230427_085745_s2.hifi_reads.bc2001.bam	2c0905dd-8683-420f-8529-cc37ef109fa6																														/dlst/tmp-Revio/r84065_20230427_081315/1_D01/pb_formats/m84065_230427_085745_s2.hifi_reads.bc2001.consensusreadset.xml	chamdogjin	chamdongjin_odae
5	chamdongjin	E-202303-19614	20230323_국립농업과학원_김정구_de novo_1(벼4종)	20230323_RDA_KimJeongGu_de novo_1	39,042,522,661	3,213,345	m84065_230502_082248_s4	bc2001--bc2001	chamdongin_Odae-Cell2 (chamdongjin)	b3f3d659-5a7f-4434-b4bd-a8aa776227a5	84065	Revio01	aba0a807-2b1e-4c72-b0b0-49ee0a44e6b7	r84065_20230502_074227	1-20230502-18kb-2cell_Revio	admin	2023-05-02 07:11:10.179000+00:00	2023-05-02T07:44:21.8884598Z	chamdongin_Odae	B01	hifiReads	0	225	0	false	true	false	false	false	0	Revio sequencing control	18251249	7041345 (38.58%)	11209904 (61.42%)	0 (0.000%)	45515 (0.406%)	149557 (1.334%)	0 (0.000%)	10376695 (92.57%)	170840 (1.524%)	4482 (0.040%)	90376 (0.806%)	2 (0.000%)	370162 (3.302%)	0 (0.000%)	249 (0.002%)	15643 (0.140%)	16430 (0.147%)	11310 (0.101%)	1 (0.000%)	45 (0.000%)	227 (0.002%)	3885 (0.035%)	0 (0.000%)	315030 (4.474%)	/dlst/tmp-Revio/r84065_20230502_074227/1_B01/hifi_reads/m84065_230502_082248_s4.hifi_reads.bc2001.bam	b8fffdd3-a18e-4b33-95f9-368927b9b4e4																														/dlst/tmp-Revio/r84065_20230502_074227/1_B01/pb_formats/m84065_230502_082248_s4.hifi_reads.bc2001.consensusreadset.xml	chamdogjin	chamdongin_Odae
6	odae	E-202303-19614	20230323_국립농업과학원_김정구_de novo_1(벼4종)	20230323_RDA_KimJeongGu_de novo_1	40,087,714,042	3,419,457	m84065_230502_082248_s4	bc2003--bc2003	chamdongin_Odae-Cell2 (odae)	eb6d6061-8c50-45ba-8428-f71282a96a0d	84065	Revio01	aba0a807-2b1e-4c72-b0b0-49ee0a44e6b7	r84065_20230502_074227	1-20230502-18kb-2cell_Revio	admin	2023-05-02 07:11:10.179000+00:00	2023-05-02T07:44:21.8884598Z	chamdongin_Odae	B01	hifiReads	0	225	0	false	true	false	false	false	0	Revio sequencing control	18251249	7041345 (38.58%)	11209904 (61.42%)	0 (0.000%)	45515 (0.406%)	149557 (1.334%)	0 (0.000%)	10376695 (92.57%)	170840 (1.524%)	4482 (0.040%)	90376 (0.806%)	2 (0.000%)	370162 (3.302%)	0 (0.000%)	249 (0.002%)	15643 (0.140%)	16430 (0.147%)	11310 (0.101%)	1 (0.000%)	45 (0.000%)	227 (0.002%)	3885 (0.035%)	0 (0.000%)	315030 (4.474%)	/dlst/tmp-Revio/r84065_20230502_074227/1_B01/hifi_reads/m84065_230502_082248_s4.hifi_reads.bc2003.bam	34a9e736-da52-4ee8-abf3-566d665d8088																														/dlst/tmp-Revio/r84065_20230502_074227/1_B01/pb_formats/m84065_230502_082248_s4.hifi_reads.bc2003.consensusreadset.xml	odea	chamdongin_Odae
7	Triticale	E-202306-19843	20230602_파이젠_박태석_de novo_1	20230602_PHZ_PTS_de novo_1	81,644,734,165	5,934,119	m84065_230622_041252_s1	bc2008--bc2008	Triticale-Cell1 (Triticale)	30747aae-c8c4-4eae-adba-9925447aab16	84065	Revio01	cfd0a1a7-705a-4cef-a1b4-b0c063dbc735	r84065_20230622_040328	1-20230621-15kb-1cell_Revio	admin	2023-06-21 07:48:46.270000+00:00	2023-06-22T04:04:30.8219264Z	Triticale	A01	hifiReads	0	225	0	false	true	false	false	false	0	Revio sequencing control	16975148	6271321 (36.94%)	10703827 (63.06%)	0 (0.000%)	50828 (0.475%)	113775 (1.063%)	0 (0.000%)	9990264 (93.33%)	178771 (1.670%)	5324 (0.050%)	95651 (0.894%)	3 (0.000%)	280141 (2.617%)	0 (0.000%)	162 (0.002%)	13377 (0.125%)	12280 (0.115%)	10641 (0.099%)	3 (0.000%)	42 (0.000%)	169 (0.002%)	3224 (0.030%)	0 (0.000%)	680354 (10.85%)	/dlst/tmp-Revio/r84065_20230622_040328/1_A01/hifi_reads/m84065_230622_041252_s1.hifi_reads.bc2008.bam	54759f44-1fb1-4c69-8fe3-c7606b5b7d85																														/dlst/tmp-Revio/r84065_20230622_040328/1_A01/pb_formats/m84065_230622_041252_s1.hifi_reads.bc2008.consensusreadset.xml	Hucc+1	Triticale
8	DO145	E-202305-19819	20230523_충남대학교_김준_de novo_1	20230523_CNNU_Kimjun_de novo_1	85,994,990,681	5,704,338	m84065_230623_052124_s2	bc2005--bc2005	DO145-Cell1 (DO145)	f96050e4-10de-4acb-a027-c21d248d9f17	84065	Revio01	8c0f767b-fe7b-4e7e-91a4-c21f9e7b4997	r84065_20230623_045643	1-20230621-16kb-2cell_Revio	admin	2023-06-23 04:25:49.221000+00:00	2023-06-23T05:18:54.3229463Z	DO145	A01	hifiReads	0	225	0	false	true	false	false	false	0	Revio sequencing control	16580158	6044895 (36.46%)	10535263 (63.54%)	0 (0.000%)	123618 (1.173%)	134764 (1.279%)	0 (0.000%)	9880704 (93.79%)	174428 (1.656%)	4181 (0.040%)	73515 (0.698%)	1 (0.000%)	213300 (2.025%)	0 (0.000%)	131 (0.001%)	16349 (0.155%)	21563 (0.205%)	10208 (0.097%)	3 (0.000%)	38 (0.000%)	158 (0.001%)	5920 (0.056%)	0 (0.000%)	531477 (8.792%)	/dlst/tmp-Revio/r84065_20230623_045643/1_A01/hifi_reads/m84065_230623_052124_s2.hifi_reads.bc2005.bam	0306d4ec-3b9b-4aaa-a277-79daf1770f97																														/dlst/tmp-Revio/r84065_20230623_045643/1_A01/pb_formats/m84065_230623_052124_s2.hifi_reads.bc2005.consensusreadset.xml	Hucc+1	DO145
9	Snufc-Pg-04	E-202305-19829	20230526_파이젠_박태석_de novo_1	20230526_PHZ_PTS_de novo_1	69,466,033,657	5,069,072	m84065_230623_055149_s3	bc2007--bc2007	Snufc-Pg-04-Cell2 (Snufc-Pg-04)	5975f116-4e94-48b0-976a-e5187cb59fcc	84065	Revio01	b2ebd554-5760-401e-bcf8-ff896a6820bd	r84065_20230623_045643	1-20230621-16kb-2cell_Revio	admin	2023-06-23 04:25:49.221000+00:00	2023-06-23T05:18:54.3229463Z	Snufc-Pg-04	B01	hifiReads	0	225	0	false	true	false	false	false	0	Revio sequencing control	18177139	5435911 (29.91%)	12741228 (70.09%)	0 (0.000%)	64879 (0.509%)	140428 (1.102%)	0 (0.000%)	12011370 (94.27%)	145753 (1.144%)	5550 (0.044%)	107815 (0.846%)	2 (0.000%)	294410 (2.311%)	0 (0.000%)	142 (0.001%)	9276 (0.073%)	12795 (0.100%)	10317 (0.081%)	5 (0.000%)	31 (0.000%)	141 (0.001%)	3193 (0.025%)	0 (0.000%)	417546 (7.681%)	/dlst/tmp-Revio/r84065_20230623_045643/1_B01/hifi_reads/m84065_230623_055149_s3.hifi_reads.bc2007.bam	163e635b-7897-4d4d-a39f-1cbfb405660e																														/dlst/tmp-Revio/r84065_20230623_045643/1_B01/pb_formats/m84065_230623_055149_s3.hifi_reads.bc2007.consensusreadset.xml	Hucc+1	Snufc-Pg-04
10	Snufc-Pg-04	E-202306-19843	20230602_파이젠_박태석_de novo_1	20230602_PHZ_PTS_de novo_1	34,899,685,105	2,540,902	m84065_230627_050434_s4	bc2007--bc2007	Snufc-Pg-04_Triticale-Cell1 (Snufc-Pg-04)	01a189b0-0696-40ba-b8cf-482bf931e43d	84065	Revio01	8c80c3ee-dffb-4612-aa1b-610022f5f144	r84065_20230627_045349	1-20230627-15kb-3cell_Revio	admin	2023-06-27 04:29:53.091000+00:00	2023-06-27T04:57:30.2769297Z	Snufc-Pg-04_Triticale	B01	hifiReads	0	225	0	false	true	false	false	false	0	Revio sequencing control	14750302	5699478 (38.64%)	9050824 (61.36%)	0 (0.000%)	49291 (0.545%)	116072 (1.282%)	0 (0.000%)	8468590 (93.57%)	136844 (1.512%)	4695 (0.052%)	74504 (0.823%)	0 (0.000%)	218180 (2.411%)	0 (0.000%)	108 (0.001%)	10359 (0.114%)	9203 (0.102%)	9346 (0.103%)	3 (0.000%)	48 (0.001%)	173 (0.002%)	2699 (0.030%)	0 (0.000%)	512930 (9.000%)	/dlst/tmp-Revio/r84065_20230627_045349/1_B01/hifi_reads/m84065_230627_050434_s4.hifi_reads.bc2007.bam	f8a84449-68f3-458f-aa22-29949a77c1da																														/dlst/tmp-Revio/r84065_20230627_045349/1_B01/pb_formats/m84065_230627_050434_s4.hifi_reads.bc2007.consensusreadset.xml	Triticale	Snufc-Pg-04_Triticale
